Item,Register,SubRegister,ID,Index,Bit Locate,Type,Physical Address,Description,Default Value,Bitwidth configuare,Min,Max,Usecase,Constraint
SDMA,SHRAM_STRIDE_N_SIZE,,1,30,[9:0] ~ [21:0],RW,DE0000F8,Stride size for the SHRAM third-dimension transaction ,0,`ANDLA_IBMC_ADDR_BITWIDTH,,,,
LDMA,SFENCE,,2,0,[21:0],RW,DE000100,"Start command with fence behavior. Command includes 5 targets which are
FME, LDMA, SDMA and CDMA, and it can determine which target has to block.
It is a command when write operation, and it is a register when read operation.
0: non-blocking
1: blocking
Command Format: ( (BASE_ADDR_SEL[2:0]<<18) | (FME << 3) | (LDMA << 2) | (SDMA << 1) | (CDMA << 0))
0: disable interrupt
1: enable interrupt
Command Format: (Interrupt enable << 21)",0,,,,,
LDMA,DIRECTION,,2,1,[0],RW,DE000104,"0: read from BMC (BMC -> DLA)(LDMA/CDMA)
1: write to BMC (DLA -> BMC)(SDMA)",0,,,,,
LDMA,EXRAM_ADDR,LSB,2,2,[21:0],RW,DE000108,External memory address,0,,,,,
LDMA,EXRAM_ADDR,MSB,2,3,[9:0],RW,DE00010C,External memory address,0,,,,,
LDMA,SHRAM_ADDR,,2,4,[9:0] ~ [21:0],RW,DE000110,Shared memory address,0,`ANDLA_IBMC_ADDR_BITWIDTH,,,,
LDMA,EXRAM_C,,2,5,[10:0] ~ [22:0],RW,DE000114,Channel size for external memory,0,`ANDLA_IBMC_ADDR_BITWIDTH+1,,,,align SHRAM size
LDMA,EXRAM_W,,2,6,[15:0],RW,DE000118,Width for external memory,0,,,,,
LDMA,EXRAM_H,,2,7,[15:0],RW,DE00011C,Height for external memory,0,,,,,
LDMA,EXRAM_N,,2,8,[15:0],RW,DE000120,The number of kernel for external memory,0,,,,,
LDMA,EXRAM_STRIDE_W_SIZE,,2,9,[21:0],RW,DE000124,Stride size for the first-dimension transaction ,0,,,,,
LDMA,EXRAM_STRIDE_H_SIZE,,2,10,[21:0],RW,DE000128,Stride size for the second-dimension transaction ,0,,,,,
LDMA,EXRAM_STRIDE_N_SIZE,,2,11,[21:0],RW,DE00012C,Stride size for the third-dimension transaction ,0,,,,,
LDMA,SHRAM_C,,2,12,[10:0] ~ [22:0],RW,DE000130,Channel size for shared memory,0,`ANDLA_IBMC_ADDR_BITWIDTH+1,,,,align SHRAM size
LDMA,SHRAM_W,,2,13,[15:0],RW,DE000134,Width for shared memory,0,,,,,
LDMA,SHRAM_H,,2,14,[15:0],RW,DE000138,Height for shared memory,0,,,,,
LDMA,SHRAM_N,,2,15,[15:0],RW,DE00013C,The number of kernel for shared memory,0,,,,,
LDMA,SHRAM_PAD_RIGHT,,2,16,[3:0],RW,DE000140,Data right side padding,0,,,,,
LDMA,SHRAM_PAD_LEFT,,2,17,[3:0],RW,DE000144,Data left side padding,0,,,,,
LDMA,SHRAM_PAD_UP,,2,18,[3:0],RW,DE000148,Data upon padding,0,,,,,
LDMA,SHRAM_PAD_DOWN,,2,19,[3:0],RW,DE00014C,Data bottom padding,0,,,,,
LDMA,CONST_VALUE,CONST_VALUE_DATA,2,20,[15:0],RW,DE000150,Const value data,0,`CONST_VALUE_BITWIDTH,,,,
LDMA,CONST_VALUE,Null,2,20,[19:16],RW,DE000150,null range,0,,,,,
LDMA,CONST_VALUE,CONST_VALUE_SEL,2,20,[21:20],RW,DE000150,"0: disable this feature 
2: CONST_VALUE[7:0] available
3: CONST_VALUE[15:0] available",0,,,,,
LDMA,CH_NUM,,2,21,[10:0] ~ [22:0],RW,DE000154,SHRAM algorithm required channel number (exclude dummy),0,`ANDLA_IBMC_ADDR_BITWIDTH+1,,,,align SHRAM size
LDMA,LDMA_DECOMP_PADDING_BY_PASS,,2,22,[0],RW,DE000158,Decompression feature bypass if padding enabled,1,,,,,
LDMA,RAM_PADDING_VALUE,RAM_PADDING_VALUE_DATA,2,23,[15:0],RW,DE00015C,data of padding value,0,`RAM_PADDING_VALUE_BITWIDTH,,,,
LDMA,RAM_PADDING_VALUE,Null,2,23,[19:16],RW,DE00015C,null,0,,,,,
LDMA,RAM_PADDING_VALUE,RAM_PADDING_VALUE_SEL,2,23,[21:20],RW,DE00015C,"2: RAM_PADDING_VALUE[7:0] available
3: RAM_PADDING_VALUE[15:0] available",0,,,,,
LDMA,PAD_C_FRONT,,2,24,[13:0],RW,DE000160,Data channel front side padding,0,,,,,
LDMA,PAD_C_BACK,,2,25,[13:0],RW,DE000164,Data channel back side padding,0,,,,,
LDMA,LDMA_CHSUM_SEL,,2,26,[21:0],RW,DE000168,"[21]: 1: check sum enable; 0: disable
[20]: 1: clean performance data;
[19:0]: selection of LDMA check sum value
0: ldma_ar_addr
1: ldma_ar_length
2: ldma_r_data
3: ldma_buf_w_data
4: ldma_buf_r_data
5: ldma_shram_w_data
6: ldma_shram_w_addr
7: ldma_shram_w_mask
8: ldma_total_cycle_cnt
9: ldma_bmc_cycle_cnt
10: ldma_ibmc_cycle_cnt
11: ldma_cmd_idle_cnt
12: ldma_data_2_data_cnt
13: ldma_cmd_2_cmd_cnt
14: ldma_bmc_state
15: ldma_bmc_cmd_cnt
16: ldma_buf_cnt
17: ldma_decomp_cat_num
18: ldma_ram_tran_state
19: ldma_ram_ch_state
20: ldma_ram_ch_state_d1
21: ldma_ram_cat_num",0,,,,,"ldma_total_cycle_cnt: ldma busy cycle count
ldma_bmc_cycle_cnt: busy cycle count of ldma bmc
ldma_ibmc_cycle_cnt: busy cycle count of ldma ibmc
ldma_cmd_idle_cnt: the max. latency of bmc command acception(vld=1, rdy=0)
ldma_data_2_data_cnt: the latency of two valid data
ldma_cmd_2_cmd_cnt: the latency of two valid command"
LDMA,LDMA_CHSUM_DATA,,2,27,[31:0],RO,DE00016C,"check-sum value of LDMA_CHSUM_SEL
data from LDMA, and output by riu_rdata directly,
the register is in LDMA",0,,,,,
LDMA,SHRAM_STRIDE_W_SIZE,,2,28,[9:0] ~ [21:0],RW,DE000170,Stride size for the SHRAM first-dimension transaction ,0,`ANDLA_IBMC_ADDR_BITWIDTH,,,,
LDMA,SHRAM_STRIDE_H_SIZE,,2,29,[9:0] ~ [21:0],RW,DE000174,Stride size for the SHRAM second-dimension transaction ,0,`ANDLA_IBMC_ADDR_BITWIDTH,,,,
LDMA,SHRAM_STRIDE_N_SIZE,,2,30,[9:0] ~ [21:0],RW,DE000178,Stride size for the SHRAM third-dimension transaction ,0,`ANDLA_IBMC_ADDR_BITWIDTH,,,,
FME0,SFENCE,,3,0,[21:0],RW,DE000180,"Start command with fence behavior. Command includes 5 targets which are
FME, LDMA, SDMA and CDMA, and it can determine which target has to block.
It is a command when write operation, and it is a register when read operation.
0: non-blocking
1: blocking
Command Format: ( (BASE_ADDR_SEL[2:0]<<18) | (FME << 3) | (LDMA << 2) | (SDMA << 1) | (CDMA << 0))
0: disable interrupt
1: enable interrupt
Command Format: (Interrupt enable << 21)",0,,,,,
FME0,MODE,EXE_MODE,3,1,[1:0],RW,DE000184,"0: FME mode
1: MM mode
2: EW mode",0,`MODE_BITWIDTH,0,2,"range(0, 3)",
FME0,MODE,MM_ATTRIBUTE,3,1,[3:2],RW,DE000184,"0: Normal(Conv, PW, FC, DILATED)
1: DW
2: TRS",0,,0,2,"range(0, 3)",
FME0,MODE,EDP_ACT,3,1,[5:4],RW,DE000184,"
0: Bypass activation for both s8/s16-op,
1: LUT activation for s8-op only
2: Coarse-grain activation for s16-op only
3: Fine-grain activation for s16-op only",0,,0,1,"range(0, 4)",
FME0,MODE,EDP_DST_DOMAIN,3,1,[8:6],RW,DE000184,"The output domain of EDP
0: s4 (Waived)
1: s8
2: s16
3-7: Reserved",0,,0,1,"[1,2]",
FME0,MODE,EDP_SRC_DOMAIN,3,1,[11:9],RW,DE000184,"The input domain of EDP in EW_MODE
0: s4 (Waived)
1: s8
2: s16
3-7: Reserved",0,,0,1,"[1,2]",
FME0,MODE,EDP_EW_OP,3,1,[14:12],RW,DE000184,"The element-wise operations
0: EW_ADD
1: EW_SUB
2: EW_MUL
3: EW_MUL_BR (Waived)
4: EW_OP_CONST
5: EW_CONST_SUB
6-7: Reserved",0,,0,5,"[0,1,2,4,5]",
FME0,MODE,EDP_FLOW,3,1,[16:15],RW,DE000184,"The operation flow to process
0: Reserved
1: Element-wise
2: Average pooling
3: Max pooling",0,,1,3,"[1,2,3]",
FME0,MODE,LOAD_MODE,3,1,[18:17],RW,DE000184,"The parameter or activation LUT needs to be loaded.
Start the operation by 4 steps:
1a: set LOAD_MODE = 1, 2 or 3
1b: sfence
2a: set LOAD_MDOE = 0
2b: sfence (start FME)",0,,0,3,"range(0, 4)","0: exe_mode: load bias/scale/shift and start FME operation
1: load mode: load per-layer parameters only
2: load mode: load activation LUT only
3: load mode: load per-layer parameters and activation LUT"
FME0,MODE,GEMM_DOMAIN,3,1,[20:19],RW,DE000184,"0: s8s8
1: s8s16
2: s16s16 (Waived)",0,,0,3,"range(0, 3)",
FME0,IM_DILATED_RATE,,3,2,[2:0],RW,DE000188,N/A (implement at next generation),0,`DILATED_RATE_BITWIDTH,N/A,N/A,N/A,N/A
FME0,IM_PAD,IM_PU,3,3,[2:0],RW,DE00018C,Padding down for input feature map,0,`PAD_SIZE_BITWIDTH*4,0,2**3-1,"range(0, 2**3)",
FME0,IM_PAD,IM_PD,3,3,[5:3],RW,DE00018C,Padding up for input feature map,0,,0,2**3-1,"range(0, 2**3)",
FME0,IM_PAD,IM_PL,3,3,[8:6],RW,DE00018C,Padding left for input feature map,0,,0,2**3-1,"range(0, 2**3)",
FME0,IM_PAD,IM_PR,3,3,[11:9],RW,DE00018C,Padding right for input feature map,0,,0,2**3-1,"range(0, 2**3)",
FME0,IM_IW,,3,4,[13:0],RW,DE000190,Input width for input feature map,0,`IM_SIZE_BITWIDTH,1,2**14-1,"range(0, 2**14)",
FME0,IM_IH,,3,5,[13:0],RW,DE000194,Input height for input feature map,0,`IM_SIZE_BITWIDTH,1,2**14-1,"range(0, 2**14)",
FME0,IM_IC,,3,6,[13:0],RW,DE000198,Input channel for input feature map,0,`IC_SIZE_BITWIDTH,1,2**14-1,"range(0, 2**14)",
FME0,IM_STRIDE,IM_SW,3,7,[4:0],RW,DE00019C,Kernel width stride for input feature map,0,`KR_SIZE_BITWIDTH*2+4,0,2**5-1,"range(0, 2**5)",
FME0,IM_STRIDE,IM_SH,3,7,[9:5],RW,DE00019C,Kernel height stride for input feature map,0,,0,2**5-1,"range(0, 2**5)",
FME0,IM_STRIDE,TW,3,7,[11:10],RW,DE00019C,Transposed height stride for input feature map,0,,0,2,"range(0, 2**1)",
FME0,IM_STRIDE,TH,3,7,[13:12],RW,DE00019C,Transposed height stride for input feature map,0,,0,2,"range(0, 2**1)",
FME0,IM_KERNEL,IM_KW,3,8,[4:0],RW,DE0001A0,"Kernel width for input feature map in FME/MM mode
Kernel width for element-wise map in EW mode",0,`KR_SIZE_BITWIDTH*4,1,2**5-1,"range(0, 2**5)",
FME0,IM_KERNEL,IM_KH,3,8,[9:5],RW,DE0001A0,"Kernel height for input feature map in FME/MM mode
Kernel height for element-wise map in EW mode",0,,1,2**5-1,"range(0, 2**5)",
FME0,IM_KERNEL,IM_KWKH,3,8,[19:10],RW,DE0001A0,IM_KW * IM_KH,0,,1,31*31,"range(0, 31**2)",
FME0,MODE_EX,,3,9,[21:0],RW,DE0001A4,FME mode extension (Waived),0,,1,2**22-1,N/A,
FME0,EM_IW,,3,10,[13:0],RW,DE0001A8,Element-wise width for element-wise feature map,0,`IM_SIZE_BITWIDTH,1,2**14-1,"range(0, 2**14)",
FME0,EM_IH,,3,11,[13:0],RW,DE0001AC,Element-wise height for element-wise feature map,0,`IM_SIZE_BITWIDTH,1,2**14-1,"range(0, 2**14)",
FME0,EM_IC,,3,12,[13:0],RW,DE0001B0,Element-wise channel for element-wise feature map,0,`IC_SIZE_BITWIDTH,1,2**14-1,"range(0, 2**14)",
FME0,OM_OW,,3,13,[13:0],RW,DE0001B4,Output width for output feature map,0,`IM_SIZE_BITWIDTH,1,2**14-1,"range(0, 2**14)",
FME0,OM_OH,,3,14,[13:0],RW,DE0001B8,Output height for output feature map,0,`IM_SIZE_BITWIDTH,1,2**14-1,"range(0, 2**14)",
FME0,OM_OC,,3,15,[13:0],RW,DE0001BC,"Output channel for output feature map. In MM_MODE, unit is pixel. In EW_MODE, unit is byte",0,`IC_SIZE_BITWIDTH,1,2**14-1,"range(0, 2**14)",
FME0,IM_ADDR_INIT,,3,16,[9:0] ~ [21:0],RW,DE0001C0,Intiial address of input feature map in FME/MM mode or element-wise feature map in EW mode,0,`ANDLA_IBMC_ADDR_BITWIDTH,0,2**22-1,"range(0, 2**22)",
FME0,KR_ADDR_INIT,,3,17,[9:0] ~ [21:0],RW,DE0001C4,Initial address of kernel data,0,`ANDLA_IBMC_ADDR_BITWIDTH,0,2**22-1,"range(0, 2**22)",
FME0,BS_ADDR_INIT,,3,18,[9:0] ~ [21:0],RW,DE0001C8,Initial address of channel-wise BIAS coefficients,0,`ANDLA_IBMC_ADDR_BITWIDTH,0,2**22-1,"range(0, 2**22)",
FME0,PL_ADDR_INIT,,3,19,[9:0] ~ [21:0],RW,DE0001CC,Initial address of per-layer parameters and activation LUT,0,`ANDLA_IBMC_ADDR_BITWIDTH,0,2**22-1,"range(0, 2**22)",
FME0,EM_ADDR_INIT,,3,20,[9:0] ~ [21:0],RW,DE0001D0,Initial address of element-wise feature map,0,`ANDLA_IBMC_ADDR_BITWIDTH,0,2**22-1,"range(0, 2**22)",
FME0,OM_ADDR_INIT,,3,21,[9:0] ~ [21:0],RW,DE0001D4,Initial address of output feature map,0,`ANDLA_IBMC_ADDR_BITWIDTH,0,2**22-1,"range(0, 2**22)",
FME0,EM_ALIGNMENT_ICIW,,3,22,[9:0] ~ [21:0],RW,DE0001D8,,0,`ANDLA_IBMC_ADDR_BITWIDTH,0,2**22-1,"range(0, 2**22)",
FME0,OM_ALIGNMENT_OCOW,,3,23,[9:0] ~ [21:0],RW,DE0001DC,,0,`ANDLA_IBMC_ADDR_BITWIDTH,0,2**22-1,"range(0, 2**22)",
FME0,ALIGNMENT_KCKWKH,,3,24,[9:0] ~ [21:0],RW,DE0001E0,,0,`ANDLA_IBMC_ADDR_BITWIDTH,0,2**22-1,"range(0, 2**22)",
FME0,ALIGNMENT_KCKW,,3,25,[9:0] ~ [21:0],RW,DE0001E4,,0,`ANDLA_IBMC_ADDR_BITWIDTH,0,2**22-1,"range(0, 2**22)",
FME0,SC_ADDR_INIT,,3,26,[9:0] ~ [21:0],RW,DE0001E8,Initial address of channel-wise SCALE coefficients,0,`ANDLA_IBMC_ADDR_BITWIDTH,0,2*22-1,"range(0, 2**22)",
FME0,SH_ADDR_INIT,,3,27,[9:0] ~ [21:0],RW,DE0001EC,Initial address of channel-wise SHIFT coefficients,0,`ANDLA_IBMC_ADDR_BITWIDTH,0,2*22-1,"range(0, 2**22)",
FME0,IM_KC,,3,28,[13:0],RW,DE0001F0,Kernel Channel in byte,0,,1,2**14-1,"range(0, 2**14)",
LDMA2,MODE_CTRL,,6,0,[0],RW,DE000300,1: tiny_channel enable ,0,,,,,
LDMA2,ROLL_IC_IW_W_PAD_SIZE,,6,1,[9:0] ~ [21:0],RW,DE000304,"ic * (iw+roll_pad_w_left+roll_pad_w_right) size, byte",0,`ANDLA_IBMC_ADDR_BITWIDTH+1,,,,
LDMA2,ROLL_IC_KW_SIZE,,6,2,[3:0] ~ [9:0],RW,DE000308,,0,$clog2(`ANDLA_GEMM_I)+1,,,,
LDMA2,ROLL_KR_STRIDE_W_SIZE,,6,3,[3:0] ~ [9:0],RW,DE00030C,,0,$clog2(`ANDLA_GEMM_I)+1,,,,
LDMA2,ROLL_PAD_W_LEFT_W_IC_SIZE,,6,4,[3:0] ~ [11:0],RW,DE000310,,0,$clog2(`ANDLA_GEMM_I)+3,,,,
LDMA2,ROLL_PAD_W_RIGHT_W_IC_SIZE,,6,5,[3:0] ~ [11:0],RW,DE000314,,0,$clog2(`ANDLA_GEMM_I)+3,,,,
LDMA2,ROLL_PAD_H_SIZE,,6,6,[5:0],RW,DE000318,,0,,,,,
CDMA,SFENCE,,7,0,[21:0],RW,DE000380,"Start command with fence behavior. Command includes 5 targets which are
FME, LDMA, SDMA and CDMA, and it can determine which target has to block.
It is a command when write operation, and it is a register when read operation.
0: non-blocking
1: blocking
Command Format: ( (BASE_ADDR_SEL[2:0]<<18) | (FME << 3) | (LDMA << 2) | (SDMA << 1) | (CDMA << 0))
0: disable interrupt
1: enable interrupt
Command Format: (Interrupt enable << 21)",0,,,,,
CDMA,DIRECTION,,7,1,[0],RW,DE000384,"0: read from BMC (BMC -> DLA)(LDMA/CDMA)
1: write to BMC (DLA -> BMC)(SDMA)",0,,,,,
CDMA,EXRAM_ADDR,LSB,7,2,[21:0],RW,DE000388,DRAM addr (22 bits LSB),0,,,,,
CDMA,EXRAM_ADDR,MSB,7,3,[9:0],RW,DE00038C,DRAM addr (10 bits MSB),0,,,,,
CDMA,EXRAM_C,,7,4,[21:0],RW,DE000390,Command Size C Channel (unit: Byte),4,,,,,
CDMA,EXRAM_W,,7,5,[15:0],RW,DE000394,Command Size W Channel (unit: Byte),1,,,,,
CDMA,EXRAM_STRIDE_W,,7,6,[21:0],RW,DE000398,,4,,,,,
