Item,Register,SubRegister,ID,Index,Bit Locate,Type,Physical Address,Enumeration,Range,Description,Default Value,Bitwidth configuare,Min,Max,Constraint
SDMA,SDMA_CHSUM_SEL,,1,26,[21:0],RW,DE0000E8,"0: SDMA_AW_ADDR
1: SDMA_AW_LENGTH
2: SDMA_W_DATA
3: SDMA_W_STRB
4: SDMA_BUF_W_DATA
5: SDMA_BUF_R_DATA
6:SDMA_SHRAM_R_DATA
7: SDMA_SHRAM_R_ADDR
8: SDMA_TOTAL_CYCLE_CNT
9: SDMA_BMC_CYCLE_CNT
10: SDMA_IBMC_CYCLE_CNT
11: SDMA_CMD_IDLE_CNT
12: SDMA_DATA_2_DATA_CNT
13: SDMA_CMD_2_CMD_CNT
14: SDMA_BMC_STATE
15: SDMA_BMC_CMD_CNT
16: SDMA_BUF_NUM
17: SDMA_COMP_CAT_NUM
18: SDMA_D_DATA_BUF_CNT",,"[21]: 1: check sum enable; 0: disable
[20]: 1: clean performance data;
[19:0]: selection of SDMA check sum value
0: sdma_aw_addr
1: sdma_aw_length
2: sdma_w_data
3: sdma_w_strb
4: sdma_buf_w_data
5: sdma_buf_r_data
6: sdma_shram_r_data
7: sdma_shram_r_addr
8: sdma_total_cycle_cnt
9: sdma_bmc_cycle_cnt
10: sdma_ibmc_cycle_cnt
11: sdma_cmd_idle_cnt
12: sdma_data_2_data_cnt
13: sdma_cmd_2_cmd_cnt
14: sdma_bmc_state
15: sdma_bmc_cmd_cnt
16: sdma_buf_num
17: sdma_comp_cat_num
18: sdma_d_data_buf_cnt",0,,,,"sdma_total_cycle_cnt: sdma busy cycle count
sdma_bmc_cycle_cnt: busy cycle count of sdma bmc
sdma_ibmc_cycle_cnt: busy cycle count of sdma ibmc
sdma_cmd_idle_cnt: the max. latency of bmc command acception(vld=1, rdy=0)
sdma_data_2_data_cnt: the latency of two valid data
sdma_cmd_2_cmd_cnt: the latency of two valid command"
SDMA,SDMA_CHSUM_DATA,,1,27,[31:0],RO,DE0000EC,,,"check-sum value of SDMA_CHSUM_SEL
data from SDMA, and output by riu_rdata directly,
the register is in SDMA",0,,,,
SDMA,SHRAM_STRIDE_W_SIZE,,1,28,[9:0] ~ [21:0],RW,DE0000F0,,,Stride size for the SHRAM first-dimension transaction ,0,,,,
SDMA,SHRAM_STRIDE_H_SIZE,,1,29,[9:0] ~ [21:0],RW,DE0000F4,,,Stride size for the SHRAM second-dimension transaction ,0,,,,
SDMA,SHRAM_STRIDE_N_SIZE,,1,30,[9:0] ~ [21:0],RW,DE0000F8,,,Stride size for the SHRAM third-dimension transaction ,0,,,,
LDMA,SFENCE,,2,0,[21:0],RW,DE000100,,,"Start command with fence behavior. Command includes 5 targets which are
FME, LDMA, SDMA and CDMA, and it can determine which target has to block.
It is a command when write operation, and it is a register when read operation.
0: non-blocking
1: blocking
Command Format: ( (BASE_ADDR_SEL[2:0]<<18) | (FME << 3) | (LDMA << 2) | (SDMA << 1) | (CDMA << 0))
0: disable interrupt
1: enable interrupt
Command Format: (Interrupt enable << 21)",0,,,,
LDMA,DIRECTION,,2,1,[0],RW,DE000104,"0: RD_FROM_BMC
1: WR_TO_BMC",,"0: read from BMC (BMC -> DLA)(LDMA/CDMA)
1: write to BMC (DLA -> BMC)(SDMA)",0,,,,
LDMA,EXRAM_ADDR,LSB,2,2,[21:0],RW,DE000108,,,External memory address,0,,,,
LDMA,EXRAM_ADDR,MSB,2,3,[9:0],RW,DE00010C,,,External memory address,0,,,,
LDMA,SHRAM_ADDR,,2,4,[9:0] ~ [21:0],RW,DE000110,,,Shared memory address,0,`ANDLA_IBMC_ADDR_BITWIDTH,,,
LDMA,EXRAM_C,,2,5,[10:0] ~ [22:0],RW,DE000114,,,Channel size for external memory,0,`ANDLA_IBMC_ADDR_BITWIDTH+1,,,align SHRAM size
LDMA,EXRAM_W,,2,6,[15:0],RW,DE000118,,,Width for external memory,0,,,,
LDMA,EXRAM_H,,2,7,[15:0],RW,DE00011C,,,Height for external memory,0,,,,
LDMA,EXRAM_N,,2,8,[15:0],RW,DE000120,,,The number of kernel for external memory,0,,,,
LDMA,EXRAM_STRIDE_W_SIZE,,2,9,[21:0],RW,DE000124,,,Stride size for the first-dimension transaction ,0,,,,
LDMA,EXRAM_STRIDE_H_SIZE,,2,10,[21:0],RW,DE000128,,,Stride size for the second-dimension transaction ,0,,,,
LDMA,EXRAM_STRIDE_N_SIZE,,2,11,[21:0],RW,DE00012C,,,Stride size for the third-dimension transaction ,0,,,,
LDMA,SHRAM_C,,2,12,[10:0] ~ [22:0],RW,DE000130,,,Channel size for shared memory,0,`ANDLA_IBMC_ADDR_BITWIDTH+1,,,align SHRAM size
LDMA,SHRAM_W,,2,13,[15:0],RW,DE000134,,,Width for shared memory,0,,,,
LDMA,SHRAM_H,,2,14,[15:0],RW,DE000138,,,Height for shared memory,0,,,,
LDMA,SHRAM_N,,2,15,[15:0],RW,DE00013C,,,The number of kernel for shared memory,0,,,,
LDMA,SHRAM_PAD_RIGHT,,2,16,[3:0],RW,DE000140,,,Data right side padding,0,,,,
LDMA,SHRAM_PAD_LEFT,,2,17,[3:0],RW,DE000144,,,Data left side padding,0,,,,
LDMA,SHRAM_PAD_UP,,2,18,[3:0],RW,DE000148,,,Data upon padding,0,,,,
LDMA,SHRAM_PAD_DOWN,,2,19,[3:0],RW,DE00014C,,,Data bottom padding,0,,,,
LDMA,CONST_VALUE,CONST_VALUE_DATA,2,20,[15:0],RW,DE000150,,,Const value data,0,,,,
LDMA,CONST_VALUE,Null,2,20,[19:16],RW,DE000150,,,null range,0,,,,
LDMA,CONST_VALUE,CONST_VALUE_SEL,2,20,[21:20],RW,DE000150,"2: LDMA_CONST_VALUE_7_0
3: LDMA_CONST_VALUE_15_0",,"0: disable this feature 
2: CONST_VALUE[7:0] available
3: CONST_VALUE[15:0] available",0,,,,
LDMA,CH_NUM,,2,21,[10:0] ~ [22:0],RW,DE000154,,,SHRAM algorithm required channel number (exclude dummy),0,`ANDLA_IBMC_ADDR_BITWIDTH+1,,,align SHRAM size
LDMA,LDMA_DECOMP_PADDING_BY_PASS,,2,22,[0],RW,DE000158,,,Decompression feature bypass if padding enabled,1,,,,
LDMA,RAM_PADDING_VALUE,RAM_PADDING_VALUE_DATA,2,23,[15:0],RW,DE00015C,,,data of padding value,0,,,,
LDMA,RAM_PADDING_VALUE,Null,2,23,[19:16],RW,DE00015C,,,null,0,,,,
LDMA,RAM_PADDING_VALUE,RAM_PADDING_VALUE_SEL,2,23,[21:20],RW,DE00015C,"2: LDMA_PADDING_VALUE_7_0
3: LDMA_PADDING_VALUE_15_0",,"2: RAM_PADDING_VALUE[7:0] available
3: RAM_PADDING_VALUE[15:0] available",0,,,,
LDMA,PAD_C_FRONT,,2,24,[13:0],RW,DE000160,,,Data channel front side padding,0,,,,
LDMA,PAD_C_BACK,,2,25,[13:0],RW,DE000164,,,Data channel back side padding,0,,,,
LDMA,LDMA_CHSUM_SEL,,2,26,[21:0],RW,DE000168,"0: LDMA_AR_ADDR
1: LDMA_AR_LENGTH
2: LDMA_R_DATA
3: LDMA_BUF_W_DATA
4: LDMA_BUF_R_DATA
5: LDMA_SHRAM_W_DATA
6: LDMA_SHRAM_W_ADDR
7: LDMA_SHRAM_W_MASK
8: LDMA_TOTAL_CYCLE_CNT
9: LDMA_BMC_CYCLE_CNT
10: LDMA_IBMC_CYCLE_CNT
11: LDMA_CMD_IDLE_CNT
12: LDMA_DATA_2_DATA_CNT
13: LDMA_CMD_2_CMD_CNT
14: LDMA_BMC_STATE
15: LDMA_BMC_CMD_CNT
16: LDMA_BUF_CNT
17: LDMA_DECOMP_CAT_NUM
18: LDMA_RAM_TRAN_STATE
19: LDMA_RAM_CH_STATE
20: LDMA_RAM_CH_STATE_D1
21: LDMA_RAM_CAT_NUM",,"[21]: 1: check sum enable; 0: disable
[20]: 1: clean performance data;
[19:0]: selection of LDMA check sum value
0: ldma_ar_addr
1: ldma_ar_length
2: ldma_r_data
3: ldma_buf_w_data
4: ldma_buf_r_data
5: ldma_shram_w_data
6: ldma_shram_w_addr
7: ldma_shram_w_mask
8: ldma_total_cycle_cnt
9: ldma_bmc_cycle_cnt
10: ldma_ibmc_cycle_cnt
11: ldma_cmd_idle_cnt
12: ldma_data_2_data_cnt
13: ldma_cmd_2_cmd_cnt
14: ldma_bmc_state
15: ldma_bmc_cmd_cnt
16: ldma_buf_cnt
17: ldma_decomp_cat_num
18: ldma_ram_tran_state
19: ldma_ram_ch_state
20: ldma_ram_ch_state_d1
21: ldma_ram_cat_num",0,,,,"ldma_total_cycle_cnt: ldma busy cycle count
ldma_bmc_cycle_cnt: busy cycle count of ldma bmc
ldma_ibmc_cycle_cnt: busy cycle count of ldma ibmc
ldma_cmd_idle_cnt: the max. latency of bmc command acception(vld=1, rdy=0)
ldma_data_2_data_cnt: the latency of two valid data
ldma_cmd_2_cmd_cnt: the latency of two valid command"
LDMA,LDMA_CHSUM_DATA,,2,27,[31:0],RO,DE00016C,,,"check-sum value of LDMA_CHSUM_SEL
data from LDMA, and output by riu_rdata directly,
the register is in LDMA",0,,,,
LDMA,SHRAM_STRIDE_W_SIZE,,2,28,[9:0] ~ [21:0],RW,DE000170,,,Stride size for the SHRAM first-dimension transaction ,0,,,,
LDMA,SHRAM_STRIDE_H_SIZE,,2,29,[9:0] ~ [21:0],RW,DE000174,,,Stride size for the SHRAM second-dimension transaction ,0,,,,
LDMA,SHRAM_STRIDE_N_SIZE,,2,30,[9:0] ~ [21:0],RW,DE000178,,,Stride size for the SHRAM third-dimension transaction ,0,,,,
FME0,SFENCE,CDMA,3,0,[0],RW,DE000180,"0: NON_BLOCKING
1: BLOCKING",,"Start command with fence behavior. Command includes 5 targets which are
FME, LDMA, SDMA and CDMA, and it can determine which target has to block.
It is a command when write operation, and it is a register when read operation.",0,,,,
FME0,SFENCE,SDMA,3,0,[1],RW,DE000180,"0: NON_BLOCKING
1: BLOCKING",,"Start command with fence behavior. Command includes 5 targets which are
FME, LDMA, SDMA and CDMA, and it can determine which target has to block.
It is a command when write operation, and it is a register when read operation.",0,,,,
FME0,SFENCE,LDMA,3,0,[2],RW,DE000180,"0: NON_BLOCKING
1: BLOCKING",,"Start command with fence behavior. Command includes 5 targets which are
FME, LDMA, SDMA and CDMA, and it can determine which target has to block.
It is a command when write operation, and it is a register when read operation.",0,,,,
FME0,SFENCE,FME,3,0,[3],RW,DE000180,"0: NON_BLOCKING
1: BLOCKING",,"Start command with fence behavior. Command includes 5 targets which are
FME, LDMA, SDMA and CDMA, and it can determine which target has to block.
It is a command when write operation, and it is a register when read operation.",0,,,,
FME0,SFENCE,BASE_ADDR_SEL,3,0,[20:18],RW,DE000180,,,"Start command with fence behavior. Command includes 5 targets which are
FME, LDMA, SDMA and CDMA, and it can determine which target has to block.
It is a command when write operation, and it is a register when read operation.",0,,,,
FME0,SFENCE,INTERRUPT,3,0,[21],RW,DE000180,"0: INTERUPT_ENABLE
1: INTERRUPT_DISABLE",,"Start command with fence behavior. Command includes 5 targets which are
FME, LDMA, SDMA and CDMA, and it can determine which target has to block.
It is a command when write operation, and it is a register when read operation.",0,,,,
FME0,MODE,EXE_MODE,3,1,[1:0],RW,DE000184,"0: FME_MODE
1: MM_MODE
2: EW_MODE","range(0, 3)",,0,,0,2,
FME0,MODE,MM_ATTRIBUTE,3,1,[3:2],RW,DE000184,"0: Normal (Conv, PW, FC, TRS, DILATED, ReduceSum, ReduceMax)
1: DW (DW, Average pooling, Max pooling)
2: TRS","range(0, 3)",,0,,0,2,
FME0,MODE,EDP_ACT,3,1,[5:4],RW,DE000184,"0: BYPASS_ACTIVATION
1: LUT_MODE
2: INTERPOLATION","range(0, 3)","0: Bypass activation for both s8/s16-op,
1: LUT activation for s8-op only
2: Coarse-grain activation for s16-op only
3: Fine-grain activation for s16-op only
0: Bypass activation
1: LUT mode (s8 input)
2: Interpolation(s16 input)",0,,0,1,
FME0,MODE,EDP_DST_DOMAIN,3,1,[7:6],RW,DE000184,"1: S8
2: S16
3: S32","range(1, 4)","The output domain of EDP
[7:6]=0: s4 (Waived)
[7:6]=1: s8
[7:6]=2: s16
[7:6]=3: s32",0,,0,1,
FME0,MODE,EDP_OUT_SCALING,3,1,[8],RW,DE000184,"0: DISABLE
1: ENABLE","[0,1]",[8]=1: enable output scaling,0,,,,
FME0,MODE,EDP_SRC_DOMAIN,3,1,[11:9],RW,DE000184,"1: S8
2: S16
3: S32","range(1, 4)","The input domain of EDP in EW_MODE
[10:9]=0: s4 (Waived)
[10:9]=1: s8
[10:9]=2: s16
[10:9]=3: s32",0,,0,1,
FME0,MODE,EDP_SRC_SCALING,3,1,[11],RW,DE000184,"0: DISABLE
1: ENABLE","[0,1]",[11]=1: enable output scaling,0,,,,
FME0,MODE,EDP_EW_OP,3,1,[14:12],RW,DE000184,"0: EW_ADD
1: EW_SUB
2: EW_MUL
3: EW_ADD_CONST
4: EW_SUB_CONST
5: EW_MULT_CONST
6: RESERVE0
7: RESERVE1","[0,1,2,3,4,5]","The element-wise operations
0: EW_ADD
1: EW_SUB
2: EW_MUL
3: EW_ADD_CONST
4: EW_SUB_CONST
5: EW_MULT_CONST
6-7: Reserved",0,,0,5,
FME0,MODE,POOL_REDUCE_MODE,3,1,[15],RW,DE000184,"0: SUM_AVERAGE
1: MAX","[0,1]",The operation flow to process,0,,1,3,
FME0,MODE,EDP_FLOW,3,1,[16],RW,DE000184,"0: ELEMENT_WISE
1: POOL_REDUCE_ENABLE","[0,1]",The operation flow to process,0,,1,3,
FME0,MODE,LOAD_MODE,3,1,[18:17],RW,DE000184,"0: NO_LOAD
1: LOAD_PARAM
2: LOAD_LUT
3: LOAD_PARAM_LUT
","range(0, 4)","The parameter or activation LUT needs to be loaded.
Start the operation by 4 steps:
1a: set LOAD_MODE = 1, 2 or 3
1b: sfence
2a: set LOAD_MDOE = 0
2b: sfence (start FME)
[17]: load layer-wise parameter
[18]: load LUT",0,,0,3,"0: exe_mode: load bias/scale/shift and start FME operation
1: load mode: load per-layer parameters only
2: load mode: load activation LUT only
3: load mode: load per-layer parameters and activation LUT"
FME0,MODE,GEMM_DOMAIN,3,1,[20:19],RW,DE000184,"0: S8S8
1: S8S16
2: S16S16
3: S8S32 ","range(0, 3)",GEMM data type,0,,0,3,
FME0,RESERVE2,,3,2,,NA,DE000188,,,,0,,N/A,N/A,N/A
FME0,IM_PAD,IM_PU,3,3,[4:0],RW,DE00018C,,"range(0, 2**3)",Padding up for input feature map,0,,0,2**3-1,
FME0,IM_PAD,IM_PD,3,3,[10:5],RW,DE00018C,,"range(0, 2**3)",Padding down for input feature map,0,,0,2**3-1,
FME0,IM_PAD,IM_PL,3,3,[15:11],RW,DE00018C,,"range(0, 2**3)",Padding left for input feature map,0,,0,2**3-1,
FME0,IM_PAD,IM_PR,3,3,[21:16],RW,DE00018C,,"range(0, 2**3)",Padding right for input feature map,0,,0,2**3-1,
FME0,IM_IW,,3,4,[13:0],RW,DE000190,,"range(0, 2**14)",Input width for input feature map in FME/MM/EW mode,0,,1,2**14-1,
FME0,IM_IH,,3,5,[13:0],RW,DE000194,,"range(0, 2**14)",Input height for input feature map in FME/MM/EW mode,0,,1,2**14-1,
FME0,IM_IC,,3,6,[13:0],RW,DE000198,,"range(0, 2**14)",Input channel (pixel) for input feature map and kernal in FME/MM/EW mode,0,,1,2**14-1,
FME0,IM_STRIDE,IM_SW,3,7,[4:0],RW,DE00019C,,"range(1, 2**5)",Kernel width stride for input feature map,0,,0,2**5-1,
FME0,IM_STRIDE,IM_SH,3,7,[9:5],RW,DE00019C,,"range(1, 2**5)",Kernel height stride for input feature map,0,,0,2**5-1,
FME0,IM_STRIDE,TW,3,7,[11:10],RW,DE00019C,,"range(0, 3)",Transposed width stride (2^tw) for input feature map,0,,0,3,
FME0,IM_STRIDE,TH,3,7,[13:12],RW,DE00019C,,"range(0, 3)",Transposed height stride (2^th) for input feature map,0,,0,3,
FME0,IM_STRIDE,DW,3,7,[15:14],RW,DE00019C,,"range(0, 3)",dilated width stride (2^dw) for kernal ,0,,0,3,
FME0,IM_STRIDE,DH,3,7,[17:16],RW,DE00019C,,"range(0, 3)",dilated height stride (2^dh) for kernal ,0,,0,3,
FME0,IM_KERNEL,IM_KW,3,8,[8:0],RW,DE0001A0,,"range(0, 2**5)","Kernel width for input feature map in FME/MM mode
Kernel width for element-wise map in EW mode",0,,1,2**5-1,
FME0,IM_KERNEL,IM_KH,3,8,[17:9],RW,DE0001A0,,"range(0, 2**5)","Kernel height for input feature map in FME/MM mode
Kernel height for element-wise map in EW mode",0,,1,2**5-1,
FME0,IM_KERNEL_KWKH,,3,9,[17:0],RW,DE0001A4,,"range(0, 31**2)",IM_KW * IM_KH,0,,1,31*31,
FME0,RESERVE10,,3,10,,NA,DE0001A8,,,,,,1,2**14-1,
FME0,RESERVE11,,3,11,,NA,DE0001AC,,,,,,1,2**14-1,
FME0,RESERVE12,,3,12,,NA,DE0001B0,,,,,,1,2**14-1,
FME0,OM_OW,,3,13,[13:0],RW,DE0001B4,,"range(0, 2**14)",Output width for output feature map,0,,1,2**14-1,
FME0,OM_OH,,3,14,[13:0],RW,DE0001B8,,"range(0, 2**14)",Output height for output feature map,0,,1,2**14-1,
FME0,OM_OC,,3,15,[13:0],RW,DE0001BC,,"range(0, 2**14)","Output channel (pixel)  for output feature map. In MM_MODE, unit is pixel. In EW_MODE, unit is byte",0,,1,2**14-1,
FME0,IM_ADDR_INIT,,3,16,[9:0] ~ [21:0],RW,DE0001C0,,"range(0, 2**22)",Intiial address of input feature map in FME/MM mode or element-wise feature map in EW mode,0,ANDLA_IBMC_ADDR_BITWIDTH,0,2**22-1,power of GEMM_I
FME0,KR_ADDR_INIT,,3,17,[9:0] ~ [21:0],RW,DE0001C4,,"range(0, 2**22)",Initial address of kernel data,0,`ANDLA_IBMC_ADDR_BITWIDTH,0,2**22-1,power of GEMM_I
FME0,BS_ADDR_INIT,,3,18,[9:0] ~ [21:0],RW,DE0001C8,,"range(0, 2**22)",Initial address of channel-wise BIAS coefficients,0,`ANDLA_IBMC_ADDR_BITWIDTH,0,2**22-1,power of GEMM_I
FME0,PL_ADDR_INIT,,3,19,[9:0] ~ [21:0],RW,DE0001CC,,"range(0, 2**22)",Initial address of per-layer parameters and activation LUT,0,`ANDLA_IBMC_ADDR_BITWIDTH,0,2**22-1,power of GEMM_I
FME0,EM_ADDR_INIT,,3,20,[9:0] ~ [21:0],RW,DE0001D0,,"range(0, 2**22)",Initial address of element-wise feature map,0,`ANDLA_IBMC_ADDR_BITWIDTH,0,2**22-1,power of GEMM_I
FME0,OM_ADDR_INIT,,3,21,[9:0] ~ [21:0],RW,DE0001D4,,"range(0, 2**22)",Initial address of output feature map,0,`ANDLA_IBMC_ADDR_BITWIDTH,0,2**22-1,power of GEMM_I
FME0,IM_ALIGNMENT_ICIW,,3,22,[9:0] ~ [21:0],RW,DE0001D8,,"range(0, 2**22)",byte,0,`ANDLA_IBMC_ADDR_BITWIDTH,0,2**22-1,
FME0,OM_ALIGNMENT_OCOW,,3,23,[9:0] ~ [21:0],RW,DE0001DC,,"range(0, 2**22)",byte,0,`ANDLA_IBMC_ADDR_BITWIDTH,0,2**22-1,
FME0,ALIGNMENT_KCKWKH,,3,24,[9:0] ~ [21:0],RW,DE0001E0,,"range(0, 2**22)",byte,0,`ANDLA_IBMC_ADDR_BITWIDTH,0,2**22-1,
